Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Plate3_A03_3B3B_10471048_DMT79_R1	Plate3_A03_3B3B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4380.0	1 Mbp	0.0	251.0	57.0	32.785388127853885	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_A03_3B3B_10471048_DMT79_R2	Plate3_A03_3B3B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4380.0	1 Mbp	0.0	251.0	55.0	28.28767123287671	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_A04_3B4B_10471048_DMT79_R1	Plate3_A04_3B4B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4185.0	1 Mbp	0.0	251.0	58.0	36.10513739545998	251.0	251	pass	fail	fail	pass	fail	pass	fail	pass	fail	warn	pass
Plate3_A04_3B4B_10471048_DMT79_R2	Plate3_A04_3B4B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4185.0	1 Mbp	0.0	251.0	56.0	26.499402628434886	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_A05_3B5B_10471048_DMT79_R1	Plate3_A05_3B5B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3293.0	826.5 kbp	0.0	251.0	57.0	34.74035833586395	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_A05_3B5B_10471048_DMT79_R2	Plate3_A05_3B5B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3293.0	826.5 kbp	0.0	251.0	55.0	27.08776191922259	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_A06_3B6B_10471048_DMT79_R1	Plate3_A06_3B6B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4651.0	1.1 Mbp	0.0	251.0	57.0	32.76714685013975	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_A06_3B6B_10471048_DMT79_R2	Plate3_A06_3B6B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4651.0	1.1 Mbp	0.0	251.0	55.0	26.918942162975707	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_A07_3B7B_10471048_DMT79_R1	Plate3_A07_3B7B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3568.0	895.5 kbp	0.0	251.0	57.0	34.47309417040359	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate3_A07_3B7B_10471048_DMT79_R2	Plate3_A07_3B7B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3568.0	895.5 kbp	0.0	251.0	55.0	26.905829596412556	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
